Label_N;COREDE;CD_GEOCMU;IDESE_2013;POUPANCA;OP_CREDITO;OBRIGACOES _RECEBIMENTO;DEP_A_VISTA_PRIV;DEP_A_VISTA_GOV;DEP_PRAZO;COOP_CRED;CEF;BANCO_COM;N_VINCULOS_EMP;DENS_DEM_HABKM2;IMPOSTOS;AREA_KM2;PIB_PERC;PIB;POPULACAO
Pantano Grande;Vale do Rio Pardo;4313953;0,643047825;17323527;68881523;49009;6106580;206858;7435014;;;2;2928;11,51297215;16218,352;841,225;23718,89;237876,734;10069
Passa Sete;Vale do Rio Pardo;4314068;0,62720016;1633228;1504716;0;362533;37820;0;;;1;310;17,05579363;2449,683;304,999;15472,08;83874,151;4947
Passo do Sobrado;Vale do Rio Pardo;4314076;0,713160112;10277615;45119993;15412;949184;124300;4721071;;;2;1325;23,09624757;10727,668;265,108;22376,38;141127,801;6335
Rio Pardo;Vale do Rio Pardo;4315701;0,685848101;85840328;206520985;20640;18434064;305180;14825420;;1;3;7422;18,32302816;38846,266;2050,589;17963,2;698067,971;37459
Santa Cruz do Sul;Vale do Rio Pardo;4316808;0,807909041;635571635;2362119991;820659;183191769;953774;522982472;1;2;13;74793;165,0647865;1569458,397;733,409;53579,65;6674791,738;126502
Segredo;Vale do Rio Pardo;4320263;0,663644773;2264401;6139581;0;1048590;249169;0;;;1;515;28,9016637;2228,609;246,318;14545,14;106804,957;6922
Sinimbu;Vale do Rio Pardo;4320677;0,66607566;26588243;70539751;3955;2387803;269271;9620572;;;2;1145;19,75221517;7047,656;510,12;15516,44;161215,849;9936
Sobradinho;Vale do Rio Pardo;4320701;0,715537342;72832613;157962894;57020;9119254;1177678;11426116;;1;3;3807;112,3949908;24291,453;128,084;20275,5;301314,161;14557
Tunas;Vale do Rio Pardo;4322152;0,661430042;;;;;;;;;;471;20,30063465;2079,283;218,072;13868,66;63310,421;4152
Vale do Sol;Vale do Rio Pardo;4322533;0,61010521;12002367;39901450;6271;842510;812924;5694958;;;1;1008;34,06483927;8641,264;328,227;16857,92;194928,167;11421
Vale Verde;Vale do Rio Pardo;4322525;0,62887375;2464551;2329662;752;143031;200489;0;;;1;505;10,06893582;1379,534;329,727;18608,34;63342,795;3214
Venâncio Aires;Vale do Rio Pardo;4322608;0,755899563;314891906;475130977;90476;37542008;539240;40916731;;2;5;30676;86,23572728;257518,64;773,241;37384,46;2585284,989;68638
Vera Cruz;Vale do Rio Pardo;4322707;0,741227071;96779326;175527656;44188;10787147;2167634;12076039;;1;3;7120;79,51980001;47137,717;309,621;22345,59;566192,654;25133
Anta Gorda;Vale do Taquari;4300703;0,768849573;14760479;3268148;0;1559342;138061;0;;;1;1584;24,96666173;12188,608;242,964;23470,85;146340,756;6341
Arroio do Meio;Vale do Taquari;4301008;0,818898017;111143313;177318950;26025;13556937;1153896;23711426;;1;3;10746;121,4634363;110265,383;157,957;42206,16;835344,353;19870
Arvorezinha;Vale do Taquari;4301404;0,729978318;48248154;94921297;20194;4624378;771941;9973967;;1;3;2005;37,75543636;9953,124;271,643;17144,51;181268,871;10301
Bom Retiro do Sul;Vale do Taquari;4302402;0,722713114;15671560;8920931;0;2391287;382806;794990;;;3;4550;113,9495338;17134,356;102,326;16598,84;199252,417;12416
Canudos do Vale;Vale do Taquari;4304614;0,745941387;;;;;;;;;;207;21,69401309;802,8;81,912;19624,88;36129,405;1890
Capitão;Vale do Taquari;4304697;0,754560171;;;;;;;;;;903;36,7731556;1197,141;73,967;19416,17;53219,711;2927
Colinas;Vale do Taquari;4305587;0,801757442;;;;;;;;;;1277;42,05711545;2892,156;58,373;23828;59498,525;2809
Coqueiro Baixo;Vale do Taquari;4305835;0,735773634;;;;;;;;;;117;13,55575942;568,342;112,277;18288,19;28657,594;1534
Cruzeiro do Sul;Vale do Taquari;4306205;0,758492656;47537534;101559059;12305;8008017;69867;7336251;;1;3;4568;80,22449229;24320,726;155,551;20346,33;261979,377;12630
