Label_N;COREDE;CD_GEOCMU;IDESE_2013;POUPANCA;OP_CREDITO;OBRIGACOES _RECEBIMENTO;DEP_A_VISTA_PRIV;DEP_A_VISTA_GOV;DEP_PRAZO;COOP_CRED;CEF;BANCO_COM;N_VINCULOS_EMP;DENS_DEM_HABKM2;IMPOSTOS;AREA_KM2;PIB_PERC;PIB;POPULACAO
Dilermando de Aguiar;Central;4306379;0,699993734;559630;1608377;0;143166;58339;0;;;1;471;5,078711706;1380,48;600,546;28500,71;89606,217;2930
Dona Francisca;Central;4306700;0,746247785;4546747;5152904;0;696052;224075;0;;;1;554;28,99095727;3002,17;114,346;17591,98;60182,163;3319
Faxinal do Soturno;Central;4308003;0,744964566;53482566;131100661;56586;6357635;651237;12702712;1;1;2;1846;38,99306659;11713,063;169,902;21145,55;145291,096;6792
Formigueiro;Central;4308409;0,69815614;9173768;40100897;2545;1499315;343734;2681580;;;2;1098;11,97273488;7255,586;581,989;18567,54;132646,48;6768
Itaara;Central;4310538;0,736129332;;;;;;;;;;795;29,60881906;3298,685;172,989;14339,77;75541,889;5133
Ivorá;Central;4310751;0,745042862;10671853;65648014;35759;1703449;16200;3979950;;;1;250;16,99341088;911,582;122,93;19805,26;42898,184;2121
Jari;Central;4311130;0,687529734;470266;2910001;0;260003;12882;0;;;1;552;4,139145339;1901,016;856,457;41726,02;152925,876;3566
Júlio de Castilhos;Central;4311205;0,767111456;45818816;241559522;216857;12608136;1087366;14342861;;1;3;4908;10,05296517;71706,419;1929,381;39894,54;801760,526;19722
Nova Palma;Central;4313102;0,775127503;18350277;153441110;135192;3518174;275131;5862069;1;;2;1340;20,16541895;14212,237;313,507;25642,01;168442,363;6310
Pinhal Grande;Central;4314472;0,696780934;4204323;38999571;21635;843363;121818;2979782;;;2;645;9,274299188;4877,968;477,125;27882,77;127619,42;4369
Quevedos;Central;4315321;0,711831865;839798;2035178;320;381679;27908;0;;;1;394;5,064791418;4959,969;543,359;45051,22;126458,784;2798
Santa Maria;Central;4316907;0,745122538;1112481671;2568789882;1229314;231952801;5410442;609860887;3;8;25;103319;149,0119023;549309,33;1781,757;20847,16;5701469,959;274411
São João do Polêsine;Central;4318432;0,762971551;8711336;52818123;9021;2738798;162384;4069175;;;1;755;32,61102768;3492,189;79,237;19027,1;50555,014;2729
São Martinho da Serra;Central;4319125;0,689001773;1702851;2444126;109;238619;7647;0;;;1;330;4,800260475;5329,139;669,547;45519,95;150352,388;3132
São Pedro do Sul;Central;4319406;0,671299281;68831346;187467789;68186;8251557;811435;13016220;;1;3;2676;18,58645845;18825,641;873,593;15951,53;268256,882;16701
Silveira Martins;Central;4320651;0,698135795;6266453;4035646;0;1269040;120065;0;;;1;421;20,41040643;1576,68;118,273;15598,05;38917,143;2439
Toropi;Central;4321493;0,716296364;;;;;;;;;;326;14,26762638;2331,852;202,977;17891,49;53799,717;2684
Tupanciretã;Central;4322202;0,736013474;40596056;440777804;142822;12776102;205015;14677419;;1;3;5555;10,01749665;61238,544;2251,86;42574,11;992572,836;22336
Arambaré;CentroSul;4300851;0,683060901;;;;;;;;;;819;7,198665444;2596,583;519,124;27274,37;103042,557;3929
Arroio dos Ratos;CentroSul;4301107;0,646597987;31052141;45546690;6748;6910565;252350;5236849;;1;2;2878;32,19989998;10584,531;425,933;12322,51;174141,778;13956
Barão do Triunfo;CentroSul;4301750;0,63639059;5070846;4550975;0;441827;18335;0;;;1;789;16,32466;2931,389;436,395;12585,23;92262,293;6874
Barra do Ribeiro;CentroSul;4301909;0,650304583;20885527;65361159;5112;4796663;343657;9190685;;;3;3637;17,52114005;17141,374;728,948;16749,89;220261,119;12984
Butiá;CentroSul;4302709;0,663342624;53576179;93132391;33020;10536052;792490;6861793;;1;3;5320;27,23041767;16712,535;752,247;15597,56;329592,078;20775
Camaquã;CentroSul;4303509;0,701012446;204878543;489785694;97827;52620883;11328812;93740832;;1;6;16826;37,76867683;160491,08;1679,434;22645,17;1481197,752;65307
Cerro Grande do Sul;CentroSul;4305173;0,623630633;6197270;14445494;645;2448668;388161;1136839;;;3;1235;32,91675519;8285,721;324,789;12082,17;133048,891;10464
Charqueadas;CentroSul;4305355;0,762071587;55060107;102560195;105667;16428139;556940;3595218;1;1;3;11864;168,6280668;100762,074;216,512;26789,06;1006974,093;36620
Chuvisca;CentroSul;4305447;0,629649696;5560205;27751124;34019;2034928;70;4270447;;;1;362;22,91457833;4797,004;220,471;18558,54;96522,986;5038
Cristal;CentroSul;4306056;0,629496674;4625173;10600818;973;923658;627172;112716;;;2;3041;10,94443426;7627,031;681,625;17948,33;137466,257;7696
Dom Feliciano;CentroSul;4306502;0,570708257;35058946;66536301;60686;3530579;273449;7908462;;;3;1210;10,74716979;8676,001;1356,171;12116,4;182206,469;14524
Mariana Pimentel;CentroSul;4311981;0,676146232;2024341;1271951;0;391250;22782;747;;;1;417;11,27616995;1908,489;337,792;12113,47;47315,198;3900
Minas do Leão;CentroSul;4312252;0,657948457;4109491;8286932;0;1298424;62718;0;;;1;1969;18,30140524;14203,004;424,339;15436,67;122814,168;7787
São Jerônimo;CentroSul;4318408;0,685355593;84162947;143493045;68292;9956621;236135;16962071;;1;3;5375;24,17300761;33369;936,375;17762,82;413216,412;23022
Sentinela do Sul;CentroSul;4320354;0,654807989;;;;;;;;;;908;18,76480685;2688,446;281,964;13378,1;72750,101;5119
Sertão Santana;CentroSul;4320552;0,716294128;29597323;79557570;9071;2321491;6118258;5806195;;1;1;763;23,77236973;9405,529;251,847;19186,55;118304,239;6025
Tapes;CentroSul;4321105;0,666147802;58163229;136279123;47846;8695601;773517;8700747;;1;3;3072;20,72067826;15307,096;806,296;15732,73;271751,493;17180
Alecrim;Fronteira Noroeste;4300307;0,677111834;11317058;14649086;265;1754832;150166;740890;;;2;690;21,62716883;3193,931;314,743;12020,22;84261,712;6905
Alegria;Fronteira Noroeste;4300455;0,713260548;1285523;3192802;593;247092;772762;0;;;1;487;23,71328639;3778,965;172,688;17556,67;74510,494;4227
Boa Vista do Buricá;Fronteira Noroeste;4302204;0,789958525;11401030;57944389;7803;2939448;1275344;3548375;;;2;2216;60,36861274;9283,168;108,732;21817,45;148358,644;6746
Campina das Missões;Fronteira Noroeste;4303707;0,695128037;5199343;8292995;0;1011387;151795;0;;;1;960;26,6608198;4084,624;225,762;16593,42;102149,068;6451
Cândido Godói;Fronteira Noroeste;4304309;0,773594629;12926190;94794206;14256;3452867;476396;7282321;;;2;1306;26,10891845;11747,763;246,276;24640,43;163957,429;6416
Doutor Maurício Cardoso;Fronteira Noroeste;4306734;0,741980729;12406990;72212383;23408;2927982;292241;8689432;;;3;865;20,1353437;6054,723;252,69;27438,3;145450,425;4957
Horizontina;Fronteira Noroeste;4309605;0,83161893;93667665;219220551;34700;18702074;264348;26632873;;1;4;8071;79,63832826;341723,634;232,476;84842,04;1621501,095;18749
Independência;Fronteira Noroeste;4310405;0,731616413;7428198;35911283;28627;1817669;80503;3339774;;;2;1208;18,34164247;9901,575;357,438;25578,48;171733,94;7017
Nova Candelária;Fronteira Noroeste;4313011;0,803012807;;;;;;;;;;863;28,29311173;10585,329;97,833;35969,43;101505,737;2813
Novo Machado;Fronteira Noroeste;4313425;0,734911242;;;;;;;;;;416;17,327559;3650,382;218,669;22475,43;87811,491;3531
Porto Lucena;Fronteira Noroeste;4315008;0,676616082;6635576;9866532;0;1556329;518532;0;1;;1;785;20,92947001;2655,364;250,078;14468,41;78274,111;5464
Porto Mauá;Fronteira Noroeste;4315057;0,725923437;;;;;;;;;;286;23,73035496;1339,796;105,561;15892,85;40987,66;2462
Porto Vera Cruz;Fronteira Noroeste;4315073;0,700917715;;;;;;;;;;194;15,19631135;680,981;113,646;16355,78;29391,341;1624
Santa Rosa;Fronteira Noroeste;4317202;0,782919004;219709579;649625325;89412;52214385;1439828;175835129;;2;6;34587;142,3198951;272639,441;489,798;31205,1;2236313,437;72217
Santo Cristo;Fronteira Noroeste;4317905;0,766105757;52110392;159673324;49288;9097692;337669;8357766;1;1;2;3998;39,05845412;41064,908;366,886;26323,17;389003,863;14753
São José do Inhacorá;Fronteira Noroeste;4318499;0,802279786;;;;;;;;;;634;28,05696219;3952,82;77,806;28648,94;64087,68;2220
Senador Salgado Filho;Fronteira Noroeste;4320321;0,732975365;;;;;;;;;;629;18,96623168;3037,897;147,209;23809,68;68809,985;2777
Três de Maio;Fronteira Noroeste;4321808;0,799365037;101888965;285603537;119359;18226876;798564;20993599;1;1;3;8413;56,14427354;58309,445;422,198;26913,58;658602,202;24538
Tucunduva;Fronteira Noroeste;4322103;0,794695519;10977302;85816333;50330;4233295;207970;8681565;;;2;1219;32,26609295;11700,137;180,809;25373,86;152852,117;6008
Tuparendi;Fronteira Noroeste;4322301;0,77472292;17884967;69441347;34551;3788640;566666;4269231;;;2;1747;27,22994319;14206,497;307,676;23730,82;205580,095;8538
Alegrete;Fronteira Oeste;4300406;0,726877131;143979215;747409945;232866;42122392;1138492;63194800;;1;6;20091;9,793753269;96877,929;7803,954;19027,03;1504162,555;78056
Barra do Quaraí;Fronteira Oeste;4301875;0,703282086;;;;;;;;;;803;3,864060075;4795,81;1056,143;32038,37;133792,229;3579
Itacurubi;Fronteira Oeste;4310553;0,665555869;66439;1025339;0;125528;251404;0;;;1;535;3,052974732;1586,568;1120,874;19177,26;68060,105;3474
Itaqui;Fronteira Oeste;4310603;0,694853782;52950632;318163991;52096;13424531;709232;18826176;1;1;4;11023;11,2019934;72413,346;3404,037;25694,33;1006523,945;39201
Maçambara;Fronteira Oeste;4311718;0,717318776;393992;3521199;0;237800;208061;275;;;1;774;2,826208388;5385,986;1682,82;37889,69;183575,571;4427
Manoel Viana;Fronteira Oeste;4311759;0,68148364;3043958;9014673;0;2158223;13136;0;;;1;1206;5,062932517;4600,698;1390,696;23861,76;174978,28;6763
Quaraí;Fronteira Oeste;4315305;0,662872955;46121179;124016313;9776;6632518;1509146;8157806;;1;3;3989;7,257201604;16259,472;3147,632;13359,25;315692,362;22603
Rosário do Sul;Fronteira Oeste;4316402;0,674527519;74864259;293883737;66461;15051351;681909;28898596;;1;3;9216;9,066860977;39447,976;4369,649;17220,86;703041,65;40814
Santa Margarida do Sul;Fronteira Oeste;4316972;0,700205968;;;;;;;;;;532;2,528004321;4177,251;955,299;51753,97;127780,549;2483
Santana do Livramento;Fronteira Oeste;4317103;0,664857134;198521621;514076147;56610;48590014;1280446;103778862;1;1;6;19211;11,64545;89521,745;6950,354;15680,91;1312523,842;83494
São Borja;Fronteira Oeste;4318002;0,70522455;135520002;541070420;117515;39902280;1687813;126960189;;1;6;16412;16,87269895;121685,42;3616,019;23325,87;1474054,792;62726
São Gabriel;Fronteira Oeste;4318309;0,657582524;141679524;408212051;249142;29964991;1579149;44442220;;1;6;12887;12,05914781;84063,608;5023,821;18770,25;1174904,847;62069
Uruguaiana;Fronteira Oeste;4322400;0,668546396;216153085;876174148;79085;64868696;977196;124635839;;1;8;32091;22,03712785;180174,31;5715,763;16065,35;2080526,828;128580
Cambará do Sul;Hortênsias;4303608;0,679013896;7963192;12232799;0;2387776;1099519;0;;;1;2352;5,43417557;4709,407;1208,647;16305,5;109442,52;6312
Canela;Hortênsias;4304408;0,701416739;117867042;197631870;34798;24226143;227001;47921884;;1;5;14778;159,6708857;58031,199;253,772;17234,77;718379,546;42402
Gramado;Hortênsias;4309100;0,803882082;193324059;301550268;76944;46727491;592684;137014453;;1;7;29379;139,5426087;161790,413;237,827;39316,64;1341090,44;34943
Jaquirana;Hortênsias;4311122;0,576863819;4557450;19678638;931;1073093;84964;2548248;;;1;849;4,508026997;2345,084;907,936;12995,35;54567,466;4012
Nova Petrópolis;Hortênsias;4313201;0,815987142;147019399;249800319;63886;21875367;972171;93007741;1;1;3;10141;67,10607621;65233,357;291,3;28017,43;563878,888;20561
Picada Café;Hortênsias;4314423;0,826597649;12455219;30239856;863;3201959;160867;10016835;;;2;5221;62,54037231;52780,924;85,145;54897,85;299852,052;5465
São Francisco de Paula;Hortênsias;4318200;0,650379887;71684148;121270855;24802;9690091;2969346;8302070;;1;3;6587;6,360321032;19389,814;3272,948;19036,21;407527,258;21336
Cachoeira do Sul;JacuíCentro;4303004;0,709108963;277654653;512557170;139941;43509816;1557131;90630228;1;1;7;21749;22,29995791;134106,329;3735,164;21095,8;1813289,229;86339
Cerro Branco;JacuíCentro;4305132;0,676624373;5155557;4899632;0;981019;160052;0;;;1;545;28,35637578;1592,071;158,765;13066,3;60614,584;4244
Novo Cabrais;JacuíCentro;4313391;0,695434176;1713054;2079024;0;238768;163082;0;;;1;425;20,43798657;2254,497;192,289;16820,53;68039,051;3812
Paraíso do Sul;JacuíCentro;4314027;0,656539984;22350049;60985716;24693;2288791;864577;4295315;;;3;779;21,76461186;4805,458;337,842;15664,09;119282,027;7318
Restinga Seca;JacuíCentro;4315503;0,680360789;47973604;117895558;14926;5232524;456873;17672171;;1;3;2941;16,25303563;16950,123;968,496;19692,26;322106,296;15968
São Sepé;JacuíCentro;4319604;0,70937756;49544564;152849776;39317;7687105;467588;10530051;1;1;3;4745;10,73344203;33664,162;2200,692;22467,98;549679,159;23772
Vila Nova do Sul;JacuíCentro;4323457;0,689293678;4460155;22132211;4345;941764;1919;1733023;;;2;761;8,333628643;3993,509;507,942;17820,03;77677,528;4152
Arroio do Sal;Litoral;4301057;0,707326454;10238334;9937670;0;2801351;562357;0;;;1;3110;68,23144105;10493,885;120,912;18000,26;152786,208;8555
Balneário Pinhal;Litoral;4301636;0,645691171;10907060;13627456;0;3022940;220351;0;;;1;2384;111,6165656;8459,414;103,757;12783,49;152059,558;11651
Capão da Canoa;Litoral;4304630;0,71936877;136363402;247674064;35386;36691473;5964705;50756010;;1;5;21830;457,6416066;68513,351;97,1;20709,18;947320,795;46498
Capivari do Sul;Litoral;4304671;0,801027458;9912143;55051458;7757;6640187;537418;6825423;;;2;1754;9,852419621;18122,106;412,792;42429,82;177229,352;4195
Caraá;Litoral;4304713;0,648776382;5566814;3075409;0;569050;350845;0;;;1;1574;25,58073953;1837,057;294,323;10121,52;78360,84;7452
Cidreira;Litoral;4305454;0,648221511;14469496;21391668;268;3264174;116509;101891;;;2;3029;55,27380686;10293,729;245,885;14376,6;199029,675;13749
Dom Pedro de Alcântara;Litoral;4306551;0,670246832;;;;;;;;;;559;31,23160777;2316,561;78,158;15670,21;41102,966;2459
Imbé;Litoral;4310330;0,702674357;19290963;42393002;5775;4677183;31640;1063951;;1;2;7504;479,1724838;19923,783;39,395;17242,19;333429,386;19729
Itati;Litoral;4310652;0,709447536;;;;;;;;;;437;12,36286308;991,531;206,91;21603,6;56709,44;2568
Mampituba;Litoral;4311734;0,639378643;;;;;;;;;;270;18,5600304;786,918;157,92;11372,85;35107,994;2916
Maquiné;Litoral;4311775;0,635915946;13435104;3914974;0;1670635;15602;0;;;1;959;11,02310783;3608,04;621,694;12077,24;85361,936;6619
Morrinhos do Sul;Litoral;4312443;0,704030103;;;;;;;;;;378;18,88286459;1808,684;165,441;14466,77;46655,334;3297
Mostardas;Litoral;4312500;0,730279076;28243345;70399270;11874;5199309;290443;2709286;;1;2;3204;6,184593786;8491,294;1982,992;20527,17;259401,857;12317
Osório;Litoral;4313508;0,760219861;200910125;307916475;62828;37789364;1588236;65185268;;1;6;18285;63,23543596;79421,331;663,552;23859,69;1032074,851;44115
Palmares do Sul;Litoral;4313656;0,735491163;23354861;99289189;11664;6888698;2234235;4721471;;1;4;3270;11,66550254;32003,549;949,209;23374,13;265810,663;11389
Terra de Areia;Litoral;4321436;0,652834214;31265801;16191966;13;5895420;488353;1514348;;;3;2939;72,29867464;11907,224;141,773;13026,17;136344,911;10670
Torres;Litoral;4321501;0,734025213;164694461;226973574;37874;35214575;1898227;37549630;1;1;5;14937;221,1129449;48437,225;160,565;19966,52;730674,713;37001
Tramandaí;Litoral;4321600;0,638022742;140953646;234092517;47397;24572194;1213926;32358387;;1;5;15485;301,6453382;46478,231;144,408;15926,04;717929,865;45906
Três Cachoeiras;Litoral;4321667;0,697382984;36423245;53369129;8439;8204889;892258;5458404;;;4;3211;41,39680871;10314,882;251,058;15167,3;162396,26;10509
Três Forquilhas;Litoral;4321832;0,671527343;;;;;;;;;;449;13,23305364;1017,456;217,259;14240,29;42051,577;2908
Xangri-lá;Litoral;4323804;0,707583772;4635485;8656621;0;1470508;76686;0;;;1;6148;221,1639863;19108,834;60,688;22553,18;308730,44;13412
Alpestre;Médio Alto Uruguai;4300505;0,702367684;10100747;10696207;52;871804;163365;241633;;;2;831;23,65396641;3865,815;324,639;14005,36;110236,181;7630
Ametista do Sul;Médio Alto Uruguai;4300646;0,679309563;1851174;5134337;0;727941;181165;0;;;1;1208;78,61803401;3965,074;93,49;9596,81;72551,921;7412
Caiçara;Médio Alto Uruguai;4303400;0,736933018;8201021;5248214;0;469482;616904;0;;;1;580;26,58520214;1717,963;189,203;15650,42;80568,382;5020
Cristal do Sul;Médio Alto Uruguai;4306072;0,668197156;;;;;;;;;;376;29,16645346;964,575;97,715;15553,6;45338,737;2906
Dois Irmãos das Missões;Médio Alto Uruguai;4306429;0,758089592;;;;;;;;;;487;9,517859279;3111,526;225,681;40785,17;89401,089;2170
Erval Seco;Médio Alto Uruguai;4307302;0,718770299;8268670;56663384;33219;2317398;48620;4065596;;;2;1032;21,08312059;12120,05;363,893;24455,95;193177,535;7915
Frederico Westphalen;Médio Alto Uruguai;4308508;0,77103552;170043264;329829959;88166;26340475;2069028;54694419;1;1;3;13411;110,6175654;76597,811;264,976;26114,21;789981,063;30055
Gramado dos Loureiros;Médio Alto Uruguai;4309126;0,739968196;;;;;;;;;;259;17,09336662;721,824;131,396;17578,91;40343,588;2291
Iraí;Médio Alto Uruguai;4310504;0,698729361;14984235;34292617;7508;1849907;16021;3016218;;;2;1049;43,48979344;5886,906;180,962;15193,49;123553,495;7996
Nonoai;Médio Alto Uruguai;4312708;0,72727245;19675402;85455174;38336;6264892;953040;13510089;;;3;2592;25,49732146;21785,825;468,912;22906,93;282854,828;11753
Novo Tiradentes;Médio Alto Uruguai;4313441;0,704382747;;;;;;;;;;260;29,88222187;1256,495;75,396;18149,39;42288,073;2178
Palmitinho;Médio Alto Uruguai;4313805;0,726573026;9031003;81978313;9054;3055088;581010;3191977;;;2;1570;47,99194696;5021,097;144,045;18182,33;130112,787;6976
Pinhal;Médio Alto Uruguai;4314456;0,746731444;;;;;;;;;;914;37,26835562;2576,461;68,208;21704,38;56474,795;2486
Pinheirinho do Vale;Médio Alto Uruguai;4314498;0,742385302;1034344;5335766;0;158961;306981;0;;;1;597;43,15797447;1731,323;105,612;13825,72;65188,266;4331
Planalto;Médio Alto Uruguai;4314704;0,685617577;18397397;65177115;15288;2795072;809995;9971162;;;3;1658;45,16535023;7450,23;230,42;12734,42;136754,988;10753
Rio dos Índios;Médio Alto Uruguai;4315552;0,707691366;;;;;;;;;;341;14,52927528;2689,76;235,318;20174,23;71235,205;3273
Rodeio Bonito;Médio Alto Uruguai;4315909;0,728045937;5257535;12591830;0;3173173;386886;0;1;;1;1591;69,95276386;10093,664;83,199;19276,7;114542,166;5901
Seberi;Médio Alto Uruguai;4320206;0,72787585;12789763;125985001;84292;6000565;818031;12574340;;;3;2486;35,81381461;17540,398;301,42;23134,68;258830,77;11137
Taquaruçu do Sul;Médio Alto Uruguai;4321329;0,741064441;;;;;;;;;;654;38,58215461;6049,51;76,849;25568,8;78700,767;3081
Trindade do Sul;Médio Alto Uruguai;4321956;0,695590158;2753130;4879631;0;984128;806654;0;;;1;1156;21,60816938;8435,121;268,417;21570,77;128604,943;5879
Vicente Dutra;Médio Alto Uruguai;4323101;0,662525423;3862302;4319803;0;900750;328218;0;;;1;417;26,79547279;1370,874;193,055;14623,56;77578,005;5315
Vista Alegre;Médio Alto Uruguai;4323507;0,776603592;;;;;;;;;;427;36,26621909;2181,548;77,455;18228,74;52845,125;2756
Alvorada;Metropolitano Delta do Jacuí;4300604;0,567625057;206066290;332748402;78578;40303539;4139843;57554119;;2;6;35636;2807,084461;161886,122;71,311;9730,61;1992341,693;210326
Cachoeirinha;Metropolitano Delta do Jacuí;4303103;0,754008281;360281668;763945425;85867;79564858;456223;147355575;;2;13;75907;2757,712754;2147160,542;44,018;45379,61;5648490,296;126586
Eldorado do Sul;Metropolitano Delta do Jacuí;4306767;0,693679243;30339962;95677361;14074;11624711;993814;5972663;;1;3;21347;70,52808764;175340,083;509,726;26003,99;959833,418;36554
Glorinha;Metropolitano Delta do Jacuí;4309050;0,747037688;;;;;;;;;;12344;22,154177;42394,949;323,641;48638,83;358176,364;7331
Gravataí;Metropolitano Delta do Jacuí;4309209;0,716310752;523482437;1006017244;120082;120858734;750150;293945523;1;3;17;89981;565,304348;1892167,988;463,499;37904,83;10197231,91;270598
Guaíba;Metropolitano Delta do Jacuí;4309308;0,728060984;223474836;330009192;81749;44004626;1229228;100588919;;1;7;25546;254,908515;1462264,277;376,947;42298,04;4174309,337;100132
Porto Alegre;Metropolitano Delta do Jacuí;4314902;0,813515861;14950706797;57085141369;55205157;3852057516;479394636;32845248682;28;49;332;1169344;2868,269839;8728261,317;496,682;39091,64;57379336,78;1476953
Santo Antônio da Patrulha;Metropolitano Delta do Jacuí;4317608;0,686449902;130019708;181226393;43712;31461971;569441;27061212;;1;3;15131;38,41563259;116376,482;1049,807;21318,25;886391,543;42039
Triunfo;Metropolitano Delta do Jacuí;4322004;0,76289314;98449569;205345117;41547;26559430;199701;68285316;;1;7;15626;32,47194977;1221722,009;818,799;215393,6;5900492,166;26349
Viamão;Metropolitano Delta do Jacuí;4323002;0,60464555;265095801;421656365;232717;58971342;235709;60939103;;2;10;33470;162,5966839;266675,106;1497,017;10722,18;2680846,405;250669
Bossoroca;Missões;4302501;0,739927504;7698009;57148880;26894;2372598;145937;1961416;;;2;1232;4,165598206;11390,34;1610,573;31371,57;218126,538;6537
Caibaté;Missões;4303301;0,725969706;14399115;33381368;16471;3675131;746102;3499974;;;2;1191;18,90134944;7302,994;259,664;24899,84;126366,701;5418
Cerro Largo;Missões;4305207;0,788532632;76988875;219265296;83370;21606575;1534407;30166573;2;1;3;4516;75,63247502;110505,535;177,675;42548,79;590236,748;13755
Dezesseis de Novembro;Missões;4306353;0,641412961;;;;;;;;;;240;12,66324799;918,553;216,848;10331,08;29474,583;2821
Entre-Ijuís;Missões;4306932;0,708278359;13761406;97671946;49683;4635503;149057;4879892;;;2;1837;16,16898992;15058,212;552,601;28768,22;261819,537;9229
Eugênio de Castro;Missões;4307831;0,749163613;1929949;5824138;0;565335;53748;69;;;1;547;6,515326041;8220,682;419,319;58044,25;162233,69;2895
Garruchos;Missões;4308656;0,675459421;368681;2191513;0;352071;523949;0;;;1;446;3,921990276;3275,591;799,849;29913,11;97516,737;3118
Giruá;Missões;4309001;0,729159339;43253237;169984570;102438;11033631;1134371;10869551;;1;3;4430;19,75649622;44843,445;855,921;31861,89;552580,675;17219
Guarani das Missões;Missões;4309506;0,7316562;14425282;78399931;35566;4607808;515165;1873067;1;;2;1601;27,51156642;21589,069;290,496;28913,22;237869,021;8396
Mato Queimado;Missões;4312179;0,727467209;;;;;;;;;;205;15,3611305;805,67;114,64;25916,36;47141,862;1833
Pirapó;Missões;4314555;0,669756738;;;;;;;;;;312;9,086764721;1266,326;291,743;15143,53;41462,992;2696
Porto Xavier;Missões;4315107;0,698455575;17077709;34594794;8333;5436173;482298;9447862;1;;2;2332;37,12167124;9208,112;280,51;11826,04;127744,873;10553
Rolador;Missões;4315958;0,735536972;;;;;;;;;;276;8,304943984;1993,047;295,005;29723,1;76447,825;2502
Roque Gonzales;Missões;4316303;0,704345751;16085238;51935796;7293;3893748;968441;2341089;;;2;946;20,3767227;4356,039;346,621;14870,75;109121,566;7106
Salvador das Missões;Missões;4316477;0,791995789;;;;;;;;;;891;28,41283682;7194,977;94,042;30633,92;84610,899;2750
Santo Ângelo;Missões;4317509;0,748535084;289453570;815802399;203760;60684822;843068;141637946;1;1;7;27550;112,5220059;155628,743;680,498;22123,39;1744119,409;79523
Santo Antônio das Missões;Missões;4317707;0,677590784;5119079;18522754;706;2096839;236311;13172;;;2;1701;6,368693337;10840,196;1710,869;19978,76;225999,679;11232
São Luiz Gonzaga;Missões;4318903;0,737321354;90211501;364650983;133364;21564698;909325;23120222;;1;3;8616;26,38850085;65554,431;1295,678;25035,45;884852,961;35753
São Miguel das Missões;Missões;4319158;0,729015946;4883294;75095144;58095;2983318;530997;2778627;;;2;1571;6,05117889;12743,692;1229,843;46544,02;358295,853;7540
São Nicolau;Missões;4319208;0,631200869;4127405;39854775;22760;1711823;202032;439876;;;2;718;11,62728404;3531,252;485,324;16048,95;92987,593;5618
São Paulo das Missões;Missões;4319307;0,719246987;10739322;34159079;2506;2198530;485251;6436094;;;2;931;27,86239425;4051,283;223,886;17223,47;110660,798;6321
São Pedro do Butiá;Missões;4319372;0,80207681;;;;;;;;;;783;26,74879914;2116,868;107,631;22351,59;66495,987;2837
Sete de Setembro;Missões;4320578;0,761283953;;;;;;;;;;222;16,17779419;1040,621;129,993;23458,47;50506,091;2030
Ubiretama;Missões;4322343;0,687203909;;;;;;;;;;253;17,65699492;1563,908;126,692;19385,27;44624,893;2293
Vitória das Missões;Missões;4323754;0,695442068;;;;;;;;;;386;13,2391404;1606,762;259,609;18283,89;64176,439;3405
Água Santa;Nordeste;4300059;0,867600828;5771664;58309611;40094;1814681;89008;3205509;;;1;743;12,9338707;23398,61;291,792;63439,62;243481,255;3825
Barracão;Nordeste;4301800;0,720266071;7695302;34533149;25945;2856468;359296;1660099;;;2;798;10,29160184;5590,281;516,732;26432,11;145323,762;5268
Cacique Doble;Nordeste;4303202;0,667062622;7197623;5766837;0;715165;240701;0;;;1;421;24,13343272;1926,357;203,908;14689,89;74272,085;5157
Capão Bonito do Sul;Nordeste;4304622;0,702359267;;;;;;;;;;273;3,403406062;3640,727;527,119;59891,36;106786,298;2184
Caseiros;Nordeste;4304952;0,728094955;;;;;;;;;;503;13,05869625;6559,372;235,705;26780,4;84063,687;3046
Ibiaçá;Nordeste;4309803;0,766144281;20070902;55191075;39985;2464124;447545;6809430;;;1;964;13,48561993;6388,781;348,816;33702,35;163456,412;4898
Ibiraiaras;Nordeste;4309902;0,713429983;14555501;77310788;70351;4228046;931562;10017485;2;;2;1535;24,38716115;16804,4;300,65;27234,58;202135,086;8330
Lagoa Vermelha;Nordeste;4311304;0,717182203;111324949;277188036;88521;14678152;1406321;25235858;;1;4;10171;21,79023064;72129,381;1263,502;28670,43;814412,241;28318
Machadinho;Nordeste;4311700;0,705378625;7104303;64528802;23693;1685387;732305;2617850;;;2;703;16,50593527;4495,791;335,031;18136,47;102652,429;5770
Maximiliano de Almeida;Nordeste;4312203;0,713147439;10147608;46946319;7738;1198439;91039;2527768;;;2;841;23,07149814;3215,514;208,439;15767,64;77860,598;4883
Paim Filho;Nordeste;4313607;0,728198374;2479021;5329843;0;612201;159476;0;1;;1;646;22,79613569;3419,756;182,18;17833,25;76254,987;4311
Sananduva;Nordeste;4316600;0,770135126;83589219;305493326;164248;13581978;1081821;14099962;1;1;3;5140;30,7918557;40953,412;504,549;26714,51;428206,948;15891
Santa Cecília do Sul;Nordeste;4316733;0,78924268;;;;;;;;;;251;8,320126783;2311,922;199,396;34647,07;58900,015;1741
Santo Expedito do Sul;Nordeste;4317954;0,761311435;;;;;;;;;;294;19,30250129;1967,386;125,735;21221,36;53138,287;2485
São João da Urtiga;Nordeste;4318424;0,729138366;1905128;5565900;0;498468;275627;0;1;;1;713;27,25249303;6139,645;171,177;20677,14;100304,824;4712
